Original Timestamp,Username,Hash Mode,Protections,Attack Type,Total Execution Time (ms),Full Breach Success
2026-01-09T08:25:24.324480+00:00,weak_user_0,sha256_salt,lockout,password_spraying,91.0,No
2026-01-09T08:25:24.331490+00:00,weak_user_1,sha256_salt,lockout,password_spraying,24.0,No
2026-01-09T08:25:24.346489+00:00,weak_user_2,sha256_salt,lockout,password_spraying,38.0,No
2026-01-09T08:25:24.354843+00:00,weak_user_3,sha256_salt,lockout,password_spraying,81.0,No
2026-01-09T08:25:24.361358+00:00,weak_user_4,sha256_salt,lockout,password_spraying,57.0,No
2026-01-09T08:25:24.367359+00:00,weak_user_5,sha256_salt,lockout,password_spraying,83.0,No
2026-01-09T08:25:24.373367+00:00,weak_user_6,sha256_salt,lockout,password_spraying,48.0,No
2026-01-09T08:25:24.379362+00:00,weak_user_7,sha256_salt,lockout,password_spraying,52.0,No
2026-01-09T08:25:24.389364+00:00,weak_user_8,sha256_salt,lockout,password_spraying,29.0,No
2026-01-09T08:25:24.405362+00:00,weak_user_9,sha256_salt,lockout,password_spraying,69.0,No
2026-01-09T08:25:24.420361+00:00,medium_user_0,sha256_salt,lockout,password_spraying,28.0,No
2026-01-09T08:25:24.427364+00:00,medium_user_1,sha256_salt,lockout,password_spraying,43.0,No
2026-01-09T08:25:24.434585+00:00,medium_user_2,sha256_salt,lockout,password_spraying,100.0,No
2026-01-09T08:25:24.441444+00:00,medium_user_3,sha256_salt,lockout,password_spraying,88.0,No
2026-01-09T08:25:24.448929+00:00,medium_user_4,sha256_salt,lockout,password_spraying,54.0,No
2026-01-09T08:25:24.459446+00:00,medium_user_5,sha256_salt,lockout,password_spraying,60.0,No
2026-01-09T08:25:24.466475+00:00,medium_user_6,sha256_salt,lockout,password_spraying,33.0,No
2026-01-09T08:25:24.473477+00:00,medium_user_7,sha256_salt,lockout,password_spraying,37.0,No
2026-01-09T08:25:24.479833+00:00,medium_user_8,sha256_salt,lockout,password_spraying,44.0,No
2026-01-09T08:25:24.489833+00:00,medium_user_9,sha256_salt,lockout,password_spraying,24.0,No
2026-01-09T08:25:24.496837+00:00,strong_user_0,sha256_salt,lockout,password_spraying,44.0,No
2026-01-09T08:25:24.503835+00:00,strong_user_1,sha256_salt,lockout,password_spraying,107.0,No
2026-01-09T08:25:24.510837+00:00,strong_user_2,sha256_salt,lockout,password_spraying,73.0,No
2026-01-09T08:25:24.521333+00:00,strong_user_3,sha256_salt,lockout,password_spraying,73.0,No
2026-01-09T08:25:24.528331+00:00,strong_user_4,sha256_salt,lockout,password_spraying,36.0,No
2026-01-09T08:25:24.536337+00:00,strong_user_5,sha256_salt,lockout,password_spraying,327.0,No
2026-01-09T08:25:24.551350+00:00,strong_user_6,sha256_salt,lockout,password_spraying,64.0,No
2026-01-09T08:25:24.558846+00:00,strong_user_7,sha256_salt,lockout,password_spraying,95.0,No
2026-01-09T08:25:24.564853+00:00,strong_user_8,sha256_salt,lockout,password_spraying,75.0,No
2026-01-09T08:25:24.578858+00:00,strong_user_9,sha256_salt,lockout,password_spraying,50.0,No
2026-01-09T09:34:48.512750+00:00,weak_user_0,sha256_salt,lockout,brute_force,3.0,No
2026-01-09T09:36:15.303435+00:00,weak_user_1,sha256_salt,lockout,brute_force,5.0,No
2026-01-09T09:37:37.991390+00:00,weak_user_2,sha256_salt,lockout,brute_force,0.0,No
2026-01-09T09:39:03.605714+00:00,weak_user_3,sha256_salt,lockout,brute_force,4.0,No
2026-01-09T09:40:25.945242+00:00,weak_user_4,sha256_salt,lockout,brute_force,2.0,No
2026-01-09T09:41:45.722761+00:00,weak_user_5,sha256_salt,lockout,brute_force,0.0,No
2026-01-09T09:43:12.750423+00:00,weak_user_6,sha256_salt,lockout,brute_force,0.0,No
2026-01-09T09:44:40.350335+00:00,weak_user_7,sha256_salt,lockout,brute_force,2.0,No
2026-01-09T09:46:08.291832+00:00,weak_user_8,sha256_salt,lockout,brute_force,57.0,No
2026-01-09T09:47:32.100883+00:00,weak_user_9,sha256_salt,lockout,brute_force,29.0,No
2026-01-09T09:48:57.303303+00:00,medium_user_0,sha256_salt,lockout,brute_force,10.0,No
2026-01-09T09:50:18.963405+00:00,medium_user_1,sha256_salt,lockout,brute_force,58.0,No
2026-01-09T09:51:51.322459+00:00,medium_user_2,sha256_salt,lockout,brute_force,39.0,No
2026-01-09T09:53:12.564326+00:00,medium_user_3,sha256_salt,lockout,brute_force,50.0,No
2026-01-09T09:54:39.197350+00:00,medium_user_4,sha256_salt,lockout,brute_force,109.0,No
2026-01-09T09:56:12.552593+00:00,medium_user_5,sha256_salt,lockout,brute_force,19.0,No
2026-01-09T09:57:46.312233+00:00,medium_user_6,sha256_salt,lockout,brute_force,45.0,No
2026-01-09T09:59:31.234742+00:00,medium_user_7,sha256_salt,lockout,brute_force,740.0,No
2026-01-09T10:01:53.146652+00:00,medium_user_8,sha256_salt,lockout,brute_force,92.0,No
2026-01-09T10:03:46.064553+00:00,medium_user_9,sha256_salt,lockout,brute_force,56.0,No
2026-01-09T10:05:23.813664+00:00,strong_user_0,sha256_salt,lockout,brute_force,23.0,No
2026-01-09T10:06:49.613447+00:00,strong_user_1,sha256_salt,lockout,brute_force,162.0,No
2026-01-09T10:08:54.789712+00:00,strong_user_2,sha256_salt,lockout,brute_force,294.0,No
2026-01-09T10:10:54.961694+00:00,strong_user_3,sha256_salt,lockout,brute_force,410.0,No
2026-01-09T10:13:11.021073+00:00,strong_user_4,sha256_salt,lockout,brute_force,36.0,No
2026-01-09T10:14:35.807636+00:00,strong_user_5,sha256_salt,lockout,brute_force,27.0,No
2026-01-09T10:16:01.122078+00:00,strong_user_6,sha256_salt,lockout,brute_force,3.0,No
2026-01-09T10:17:24.910738+00:00,strong_user_7,sha256_salt,lockout,brute_force,23.0,No
2026-01-09T10:18:47.268431+00:00,strong_user_8,sha256_salt,lockout,brute_force,4.0,No
2026-01-09T10:20:22.021749+00:00,strong_user_9,sha256_salt,lockout,brute_force,11.0,No
