Original Timestamp,Username,Hash Mode,Protections,Attack Type,Total Execution Time (ms),Full Breach Success
2026-01-08T14:40:17.273017+00:00,weak_user_0,sha256_salt,pepper,password_spraying,4821.0,Yes
2026-01-08T14:40:17.281018+00:00,weak_user_1,sha256_salt,pepper,password_spraying,4856.0,Yes
2026-01-08T14:40:17.296019+00:00,weak_user_2,sha256_salt,pepper,password_spraying,4948.0,No
2026-01-08T14:40:17.302542+00:00,weak_user_3,sha256_salt,pepper,password_spraying,5063.0,Yes
2026-01-08T14:40:17.320542+00:00,weak_user_4,sha256_salt,pepper,password_spraying,4860.0,Yes
2026-01-08T14:40:17.328546+00:00,weak_user_5,sha256_salt,pepper,password_spraying,5075.0,Yes
2026-01-08T14:40:17.336544+00:00,weak_user_6,sha256_salt,pepper,password_spraying,4922.0,No
2026-01-08T14:40:17.344553+00:00,weak_user_7,sha256_salt,pepper,password_spraying,5135.0,No
2026-01-08T14:40:17.351554+00:00,weak_user_8,sha256_salt,pepper,password_spraying,4939.0,No
2026-01-08T14:40:17.358071+00:00,weak_user_9,sha256_salt,pepper,password_spraying,4882.0,No
2026-01-08T14:40:17.367075+00:00,medium_user_0,sha256_salt,pepper,password_spraying,4923.0,No
2026-01-08T14:40:17.373075+00:00,medium_user_1,sha256_salt,pepper,password_spraying,4790.0,No
2026-01-08T14:40:17.381073+00:00,medium_user_2,sha256_salt,pepper,password_spraying,4901.0,No
2026-01-08T14:40:17.390084+00:00,medium_user_3,sha256_salt,pepper,password_spraying,4855.0,Yes
2026-01-08T14:40:17.404595+00:00,medium_user_4,sha256_salt,pepper,password_spraying,4852.0,Yes
2026-01-08T14:40:17.419594+00:00,medium_user_5,sha256_salt,pepper,password_spraying,4770.0,No
2026-01-08T14:40:17.433957+00:00,medium_user_6,sha256_salt,pepper,password_spraying,4872.0,No
2026-01-08T14:40:17.439954+00:00,medium_user_7,sha256_salt,pepper,password_spraying,5009.0,Yes
2026-01-08T14:40:17.446956+00:00,medium_user_8,sha256_salt,pepper,password_spraying,4924.0,No
2026-01-08T14:40:17.452957+00:00,medium_user_9,sha256_salt,pepper,password_spraying,4840.0,No
2026-01-08T14:40:17.459958+00:00,strong_user_0,sha256_salt,pepper,password_spraying,4811.0,No
2026-01-08T14:40:17.465954+00:00,strong_user_1,sha256_salt,pepper,password_spraying,4999.0,No
2026-01-08T14:40:17.474958+00:00,strong_user_2,sha256_salt,pepper,password_spraying,4842.0,No
2026-01-08T14:40:17.483956+00:00,strong_user_3,sha256_salt,pepper,password_spraying,4867.0,No
2026-01-08T14:40:17.492965+00:00,strong_user_4,sha256_salt,pepper,password_spraying,4924.0,No
2026-01-08T14:40:17.501484+00:00,strong_user_5,sha256_salt,pepper,password_spraying,4824.0,No
2026-01-08T14:40:17.517482+00:00,strong_user_6,sha256_salt,pepper,password_spraying,4798.0,No
2026-01-08T14:40:17.526483+00:00,strong_user_7,sha256_salt,pepper,password_spraying,4833.0,No
2026-01-08T14:40:17.532481+00:00,strong_user_8,sha256_salt,pepper,password_spraying,4836.0,No
2026-01-08T14:40:17.540489+00:00,strong_user_9,sha256_salt,pepper,password_spraying,4941.0,No
2026-01-08T15:37:26.385659+00:00,weak_user_0,sha256_salt,pepper,brute_force,7.0,Yes
2026-01-08T15:37:26.515969+00:00,weak_user_1,sha256_salt,pepper,brute_force,2.0,Yes
2026-01-08T15:37:26.613515+00:00,weak_user_2,sha256_salt,pepper,brute_force,5316.0,No
2026-01-08T15:39:15.334367+00:00,weak_user_3,sha256_salt,pepper,brute_force,4.0,Yes
2026-01-08T15:39:15.416982+00:00,weak_user_4,sha256_salt,pepper,brute_force,7.0,Yes
2026-01-08T15:39:15.487178+00:00,weak_user_5,sha256_salt,pepper,brute_force,9.0,Yes
2026-01-08T15:39:15.606725+00:00,weak_user_6,sha256_salt,pepper,brute_force,4898.0,No
2026-01-08T16:07:42.376267+00:00,weak_user_7,sha256_salt,pepper,brute_force,4854.0,No
2026-01-08T16:09:31.614034+00:00,weak_user_8,sha256_salt,pepper,brute_force,5387.0,No
2026-01-08T16:11:25.110571+00:00,weak_user_9,sha256_salt,pepper,brute_force,4577.0,No
2026-01-08T16:20:01.598851+00:00,medium_user_0,sha256_salt,pepper,brute_force,4928.0,No
2026-01-08T16:21:48.220966+00:00,medium_user_1,sha256_salt,pepper,brute_force,5458.0,No
2026-01-08T17:22:55.421072+00:00,medium_user_2,sha256_salt,pepper,brute_force,4715.0,No
2026-01-08T17:24:35.259896+00:00,medium_user_3,sha256_salt,pepper,brute_force,12.0,Yes
2026-01-08T17:24:35.492839+00:00,medium_user_4,sha256_salt,pepper,brute_force,4.0,Yes
2026-01-08T17:24:35.676036+00:00,medium_user_5,sha256_salt,pepper,brute_force,5068.0,No
2026-01-08T17:26:26.119389+00:00,medium_user_6,sha256_salt,pepper,brute_force,5008.0,No
2026-01-08T17:28:13.013569+00:00,medium_user_7,sha256_salt,pepper,brute_force,8.0,Yes
2026-01-08T17:28:13.208427+00:00,medium_user_8,sha256_salt,pepper,brute_force,3499.0,No
