Original Timestamp,Username,Hash Mode,Protections,Attack Type,Total Execution Time (ms),Full Breach Success
2026-01-09T11:04:34.153481+00:00,weak_user_0,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,47.0,No
2026-01-09T11:04:34.174477+00:00,weak_user_1,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,130.0,No
2026-01-09T11:04:34.191479+00:00,weak_user_2,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,32.0,No
2026-01-09T11:04:34.208982+00:00,weak_user_3,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,31.0,No
2026-01-09T11:04:34.226575+00:00,weak_user_4,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,35.0,No
2026-01-09T11:04:34.234569+00:00,weak_user_5,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,49.0,No
2026-01-09T11:04:34.250108+00:00,weak_user_6,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,42.0,No
2026-01-09T11:04:34.270131+00:00,weak_user_7,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,37.0,No
2026-01-09T11:04:34.285117+00:00,weak_user_8,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,89.0,No
2026-01-09T11:04:34.309530+00:00,weak_user_9,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,57.0,No
2026-01-09T11:04:34.326521+00:00,medium_user_0,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,58.0,No
2026-01-09T11:04:34.343543+00:00,medium_user_1,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,28.0,No
2026-01-09T11:04:34.359070+00:00,medium_user_2,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,89.0,No
2026-01-09T11:04:34.376060+00:00,medium_user_3,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,24.0,No
2026-01-09T11:04:34.392058+00:00,medium_user_4,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,57.0,No
2026-01-09T11:04:34.399059+00:00,medium_user_5,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,31.0,No
2026-01-09T11:04:34.406060+00:00,medium_user_6,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,83.0,No
2026-01-09T11:04:34.413070+00:00,medium_user_7,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,94.0,No
2026-01-09T11:04:34.428063+00:00,medium_user_8,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,44.0,No
2026-01-09T11:04:34.444076+00:00,medium_user_9,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,52.0,No
2026-01-09T11:04:34.451133+00:00,strong_user_0,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,52.0,No
2026-01-09T11:04:34.461143+00:00,strong_user_1,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,34.0,No
2026-01-09T11:04:34.469134+00:00,strong_user_2,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,31.0,No
2026-01-09T11:04:34.488151+00:00,strong_user_3,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,36.0,No
2026-01-09T11:04:34.505151+00:00,strong_user_4,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,69.0,No
2026-01-09T11:04:34.520146+00:00,strong_user_5,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,101.0,No
2026-01-09T11:04:34.537138+00:00,strong_user_6,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,37.0,No
2026-01-09T11:04:34.554683+00:00,strong_user_7,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,33.0,No
2026-01-09T11:04:34.563677+00:00,strong_user_8,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,253.0,No
2026-01-09T11:04:34.570677+00:00,strong_user_9,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",password_spraying,39.0,No
2026-01-09T13:04:34.206093+00:00,weak_user_0,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",brute_force,17.0,No
2026-01-09T13:06:13.719347+00:00,weak_user_1,sha256_salt,"pepper, totp, rate_limit, lockout, captcha",brute_force,23.0,No
