Original Timestamp,Username,Hash Mode,Protections,Attack Type,Total Execution Time (ms),Full Breach Success
2026-01-08T19:02:03.861456+00:00,weak_user_0,sha256_salt,totp,password_spraying,2878.0,No
2026-01-08T19:02:03.875453+00:00,weak_user_1,sha256_salt,totp,password_spraying,2914.0,No
2026-01-08T19:02:03.882456+00:00,weak_user_2,sha256_salt,totp,password_spraying,2987.0,No
2026-01-08T19:02:03.898456+00:00,weak_user_3,sha256_salt,totp,password_spraying,2912.0,No
2026-01-08T19:02:03.914462+00:00,weak_user_4,sha256_salt,totp,password_spraying,2885.0,No
2026-01-08T19:02:03.920456+00:00,weak_user_5,sha256_salt,totp,password_spraying,2859.0,No
2026-01-08T19:02:03.935470+00:00,weak_user_6,sha256_salt,totp,password_spraying,2862.0,No
2026-01-08T19:02:03.948974+00:00,weak_user_7,sha256_salt,totp,password_spraying,2968.0,No
2026-01-08T19:02:03.962975+00:00,weak_user_8,sha256_salt,totp,password_spraying,2821.0,No
2026-01-08T19:02:03.976981+00:00,weak_user_9,sha256_salt,totp,password_spraying,2927.0,No
2026-01-08T19:02:03.993972+00:00,medium_user_0,sha256_salt,totp,password_spraying,2816.0,No
2026-01-08T19:02:04.007802+00:00,medium_user_1,sha256_salt,totp,password_spraying,2952.0,No
2026-01-08T19:02:04.015806+00:00,medium_user_2,sha256_salt,totp,password_spraying,2807.0,No
2026-01-08T19:02:04.028817+00:00,medium_user_3,sha256_salt,totp,password_spraying,2830.0,No
2026-01-08T19:02:04.042349+00:00,medium_user_4,sha256_salt,totp,password_spraying,2921.0,No
2026-01-08T19:02:04.059347+00:00,medium_user_5,sha256_salt,totp,password_spraying,2845.0,No
2026-01-08T19:02:04.074345+00:00,medium_user_6,sha256_salt,totp,password_spraying,2818.0,No
2026-01-08T19:02:04.090342+00:00,medium_user_7,sha256_salt,totp,password_spraying,2773.0,No
2026-01-08T19:02:04.096348+00:00,medium_user_8,sha256_salt,totp,password_spraying,3125.0,No
2026-01-08T19:02:04.101341+00:00,medium_user_9,sha256_salt,totp,password_spraying,2932.0,No
2026-01-08T19:02:04.116343+00:00,strong_user_0,sha256_salt,totp,password_spraying,2844.0,No
2026-01-08T19:02:04.122343+00:00,strong_user_1,sha256_salt,totp,password_spraying,2984.0,No
2026-01-08T19:02:04.127351+00:00,strong_user_2,sha256_salt,totp,password_spraying,2941.0,No
2026-01-08T19:02:04.140526+00:00,strong_user_3,sha256_salt,totp,password_spraying,3116.0,No
2026-01-08T19:02:04.149008+00:00,strong_user_4,sha256_salt,totp,password_spraying,3271.0,No
2026-01-08T19:02:04.162006+00:00,strong_user_5,sha256_salt,totp,password_spraying,2860.0,No
2026-01-08T19:02:04.175007+00:00,strong_user_6,sha256_salt,totp,password_spraying,2928.0,No
2026-01-08T19:02:04.182936+00:00,strong_user_7,sha256_salt,totp,password_spraying,2979.0,No
2026-01-08T19:02:04.187797+00:00,strong_user_8,sha256_salt,totp,password_spraying,3063.0,No
2026-01-08T19:02:04.201804+00:00,strong_user_9,sha256_salt,totp,password_spraying,2816.0,No
2026-01-08T21:03:20.974785+00:00,weak_user_0,sha256_salt,totp,brute_force,4.0,No
2026-01-08T21:03:21.132309+00:00,weak_user_1,sha256_salt,totp,brute_force,7143.0,No
2026-01-08T21:04:53.510566+00:00,weak_user_2,sha256_salt,totp,brute_force,4810.0,No
2026-01-08T21:06:33.676218+00:00,weak_user_3,sha256_salt,totp,brute_force,5131.0,No
2026-01-08T21:08:17.342507+00:00,weak_user_4,sha256_salt,totp,brute_force,5178.0,No
2026-01-08T21:10:05.008507+00:00,weak_user_5,sha256_salt,totp,brute_force,6.0,No
2026-01-08T21:10:05.150796+00:00,weak_user_6,sha256_salt,totp,brute_force,4955.0,No
2026-01-08T21:11:51.840139+00:00,weak_user_7,sha256_salt,totp,brute_force,6.0,No
2026-01-08T21:11:51.995632+00:00,weak_user_8,sha256_salt,totp,brute_force,5.0,No
2026-01-08T21:11:52.114024+00:00,weak_user_9,sha256_salt,totp,brute_force,4.0,No
2026-01-08T21:11:52.216557+00:00,medium_user_0,sha256_salt,totp,brute_force,7.0,No
2026-01-08T21:11:52.403955+00:00,medium_user_1,sha256_salt,totp,brute_force,4392.0,No
2026-01-08T21:13:35.669726+00:00,medium_user_2,sha256_salt,totp,brute_force,7.0,No
2026-01-08T21:13:35.846239+00:00,medium_user_3,sha256_salt,totp,brute_force,8006.0,No
2026-01-08T21:20:13.014124+00:00,medium_user_4,sha256_salt,totp,brute_force,12338.0,No
2026-01-08T21:22:14.528177+00:00,medium_user_5,sha256_salt,totp,brute_force,12408.0,No
2026-01-08T21:24:17.074132+00:00,medium_user_6,sha256_salt,totp,brute_force,19.0,No
2026-01-08T21:24:17.256371+00:00,medium_user_7,sha256_salt,totp,brute_force,13319.0,No
2026-01-08T21:26:23.389022+00:00,medium_user_8,sha256_salt,totp,brute_force,8890.0,No
2026-01-08T21:49:44.340634+00:00,medium_user_9,sha256_salt,totp,brute_force,4462.0,No
2026-01-08T21:51:22.723226+00:00,strong_user_0,sha256_salt,totp,brute_force,4077.0,No
2026-01-08T21:54:23.875089+00:00,strong_user_1,sha256_salt,totp,brute_force,1321.0,No
2026-01-08T21:55:42.403630+00:00,strong_user_2,sha256_salt,totp,brute_force,1735.0,No
2026-01-08T21:57:06.446876+00:00,strong_user_3,sha256_salt,totp,brute_force,1203.0,No
2026-01-08T21:58:33.905041+00:00,strong_user_4,sha256_salt,totp,brute_force,1864.0,No
2026-01-08T21:59:57.939022+00:00,strong_user_5,sha256_salt,totp,brute_force,2692.0,No
2026-01-08T22:02:03.917582+00:00,strong_user_6,sha256_salt,totp,brute_force,1366.0,No
2026-01-08T22:03:25.525041+00:00,strong_user_7,sha256_salt,totp,brute_force,3632.0,No
2026-01-08T22:14:40.619818+00:00,strong_user_8,sha256_salt,totp,brute_force,1430.0,No
2026-01-08T22:15:59.407405+00:00,strong_user_9,sha256_salt,totp,brute_force,1193.0,No
